,0 month ,1 month,2 month ,3 month ,4 month ,5 month ,6 month ,7 month ,8 month ,9 month ,10 month ,11 month ,12 month ,13 month ,14 month ,15 month ,16 month ,17 month ,18 month ,19 month ,20 month ,21 month ,22 month ,23 month ,24 month ,25 month ,26 month ,27 month ,28 month ,29 month ,30 month ,31 month ,32 month ,33 month ,34 month ,35 month ,36 month ,37 month ,38 month ,39 month ,40 month ,41 month ,42 month ,43 month ,44 month ,45 month ,46 month ,47 month ,48 month ,49 month ,50 month ,51 month ,52 month ,53 month ,54 month ,55 month ,56 month ,57 month ,58 month ,59 month ,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79,80+
Jan ,90.3114,128.8266,116.8736,71.4523,61.093,58.4368,46.4838,31.0778,32.4059,20.9841,17.531,25.7653,19.9304,18.3569,25.6997,18.6192,22.815,21.7661,17.8324,15.7345,20.9793,15.4723,15.21,13.6366,7.5526,10.157,10.9383,6.5109,4.6878,5.7296,4.6878,8.5944,3.3857,5.2087,3.9065,3.9065,3.3697,2.5921,2.3329,1.8145,3.3697,1.8145,1.5553,2.0737,0.5184,0.7776,1.296,1.5553,1.0374,2.0749,0.5187,0.2594,0.5187,0.5187,0.7781,0.2594,0,0.5187,1.8155,0.2594,0.0039,0.0008,0.0018,0.0007,0.0012,0.0012,0.0016,0.0016,0.0022,0.0032,0.0071,0.0085,0.0184,0.0229,0.0211,0.0654
Feb,124.0454,180.3573,157.2482,78.3585,77.8272,86.0615,44.0932,36.3902,36.6558,27.8903,24.4372,29.484,30.1578,24.6507,27.5354,22.0283,21.2416,24.913,17.0457,16.259,20.4548,20.1926,15.21,13.1121,12.5009,7.8131,9.8965,6.7713,8.0735,8.0735,3.9065,6.2505,2.0835,4.167,3.9065,4.6878,2.0737,2.3329,2.0737,1.5553,1.8145,1.5553,0.7776,0.7776,1.0368,3.1105,2.3329,0.5184,0.5187,1.8155,0,1.0374,1.0374,0,0,0.5187,0.5187,0.2594,0.2594,0.5187,0.0037,0.0016,0.0018,0.0007,0.0012,0.0019,0.0016,0.004,0.0027,0.0027,0.0076,0.0142,0.0196,0.0269,0.0334,0.0766
Mar,95.6239,140.2484,109.4362,67.468,53.6556,56.0462,37.9839,32.1402,30.2809,19.656,18.0623,19.1248,18.8814,14.9478,16.259,14.9478,10.4897,15.7345,9.7029,9.1785,12.3254,9.7029,10.7519,12.8498,7.5526,7.0318,6.7713,6.2505,6.2505,4.4274,5.2087,4.9483,2.3439,1.823,2.8648,2.8648,2.5921,2.5921,1.296,0.2592,1.296,0.5184,2.0737,1.0368,1.296,1.0368,1.5553,0.2592,0.5187,1.8155,0.5187,1.0374,0.7781,0.2594,0.5187,0.5187,1.2968,0.7781,0.7781,0.2594,0.0018,0.0013,0.0008,0.0012,0.0002,0.0019,0.0009,0.0019,0.0027,0.0044,0.0059,0.0076,0.013,0.0232,0.016,0.0665
Apri,34.7965,43.0307,37.9839,21.781,18.0623,18.3279,11.4217,6.9062,9.828,7.703,6.6405,9.828,7.3428,4.9826,5.2448,4.7203,3.9336,3.4091,4.7203,3.9336,4.4581,2.3602,2.3602,3.6714,1.0417,1.823,1.0417,3.6461,1.3022,1.0417,0.2604,1.0417,0.2604,0.5209,0.2604,0.2604,0,0.7776,0.5184,0,0.7776,0,0.5184,1.0368,0.2592,0.2592,0,0,0.7781,0.5187,0,0,0.2594,0.7781,0,0,0.2594,0,0,0,0.0005,0.0003,0.0003,0.0002,0.0002,0,0.0009,0.0007,0.001,0.0017,0.0012,0.0039,0.0042,0.008,0.0105,0.0267
May,12.2186,17.2654,10.0936,9.2968,6.6405,5.5781,4.5156,4.25,4.5156,0.7969,1.8594,3.1875,0.7867,1.049,2.6224,0.7867,1.049,0.7867,1.8357,1.049,1.5734,2.0979,1.049,1.049,0.7813,1.0417,0.7813,0.5209,0.2604,1.0417,0.2604,0.5209,0.5209,0.2604,0.7813,0.5209,1.0368,0,0.2592,0.5184,0.7776,0,0.5184,0.2592,0.2592,0,1.0368,0,0,0,0.2594,0,0,0,0,0,0,0,0,0,0.0008,0,0.0005,0.0007,0,0,0,0,0.0002,0.001,0.001,0.0012,0.0021,0.0044,0.0018,0.013
June,2.125,5.5781,4.5156,4.5156,1.8594,3.7187,2.3906,1.3281,2.3906,0,0.7969,0.5312,1.049,0.2622,0.2622,1.3112,0.5245,0.7867,0.5245,0.7867,1.049,0.5245,0.5245,0.2622,1.0417,0,0.2604,0.7813,0.5209,0.2604,0,0,0.5209,0,0,0,0.2592,0,0.2592,0,0,0,0,0,0,0,0.2592,0,0,0,0,0,0,0.2594,0,0.5187,0,0,0,0,0.0005,0,0.0005,0,0,0,0,0.0005,0,0.0002,0,0.0007,0.0009,0.0011,0.0022,0.0025
July,1.0625,0.7969,2.125,1.0625,1.0625,1.0625,0.2656,0.5312,0.2656,0,0,0.5312,1.049,0.5245,0.2622,0.2622,0.5245,0,0.2622,0.2622,0.2622,0,0,0,0,0.5209,0,0,0,0,0,0,0.2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2594,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0.0002,0,0,0,0.0002,0,0.0003,0.0004,0.0004,0.0018
Aug,0,0.7969,0.7969,0.7969,0.5312,0.2656,0,0,0.2656,0.2656,0,0,0,0,0,0.5245,0.2622,0.2622,0,0.2622,0.5245,0.2622,0,0,0.2604,0,0.5209,0.2604,0,0,0.2604,0,0.2604,0,0.2604,0.2604,0.2592,0.2592,0,0,0,0,0,0,0,0,0,0,0,0,0.2594,0,0,0,0,0.2594,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0.0007,0,0.0004,0,0.0004
Sep,2.125,1.5937,1.0625,0.7969,0.7969,0.5312,0.7969,0.5312,0.7969,0.2656,0.2656,0.7969,0,0.2622,0.7867,0,0.5245,0.2622,0.2622,0,0,0.5245,0,0.7867,0,0.2604,0,0.2604,0.5209,0,0.2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2592,0.2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0,0.0004,0.0004,0.0011
Oct,0.7969,4.7812,3.1875,1.3281,2.3906,3.9843,1.8594,1.0625,0.5312,1.0625,1.0625,1.8594,1.5734,1.3112,1.3112,1.049,0.5245,1.3112,0.2622,0.2622,1.5734,1.3112,1.049,0.5245,0.2604,0,0,0,0.7813,0.2604,0.2604,0,0.2604,0,0.5209,0.2604,0,0.2592,0.2592,0,0.5184,0,0.2592,0,0,0,0,0.2592,0,0,0,0,0.2594,0.2594,0,0,0,0,0,0,0.0003,0,0,0,0,0.0002,0,0,0.0002,0,0,0.0005,0.0003,0,0.0004,0.0014
Nov,12.2186,14.6092,17.2654,9.2968,6.6405,9.2968,6.3749,3.4531,3.1875,1.8594,2.125,2.9218,1.8357,3.6714,3.6714,2.8847,4.9826,4.4581,2.6224,1.3112,2.8847,1.5734,1.3112,2.0979,1.3022,1.5626,0.2604,1.3022,0.2604,0.5209,1.3022,1.5626,0.2604,1.0417,0.5209,0.2604,0.7776,0.2592,0.2592,0.5184,0.2592,0,0.5184,0.2592,0,0.5184,0.2592,0,0,0,0.2594,0,0,0,0.2594,0,0,0.2594,0,0,0,0.0003,0,0,0,0.0002,0.0002,0.0002,0,0.0005,0.001,0.0005,0.0018,0.0011,0.0015,0.0047
Dec,41.437,69.0617,54.4525,36.6558,27.0934,32.1402,19.3904,18.0623,19.656,14.078,8.7655,11.6874,8.1295,11.0141,13.1121,12.0631,15.21,12.3254,8.3917,8.9162,11.0141,10.4897,7.0805,7.3428,4.9483,6.5109,5.2087,4.4274,4.9483,4.167,2.3439,4.167,1.0417,1.823,2.0835,1.3022,0.7776,1.0368,0.7776,0.7776,1.0368,2.0737,1.0368,0.5184,0.5184,1.0368,0.7776,0.2592,0.5187,1.0374,0.5187,0.2594,0.5187,0,0.5187,0.5187,0.5187,0,0,0.5187,0.0016,0,0.0003,0.0002,0.0002,0,0.0002,0,0.0022,0.0012,0.0032,0.0032,0.0104,0.0116,0.008,0.0231